ASPM : Airport Efficiency : Daily Configuration By Hour Report,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
From 5/1/2019 To 9/30/2019 ; Airport=IAD,,,,,,,,,,,,,,,,,,,,,,,,
Airport,Scheduled,Local,Scheduled,Scheduled,Actual,Actual,Actual,ADR+,Runway,Approach,Average,Average,Temp,Wind,Wind,Ceiling,Visibility,Airport,Airport,,,,,
,Departure,Hour,Departures,Arrivals,Departures,Arrivals,Total,Cap,Configuration,Condition,Taxi Out,Taxi In,(F),Dir,Speed,(100ft),(Stat,Weather,Weather,,,,,
IAD,5/3/2019,0,0,7,9,8,17,160,"19C, 19L, 19R | 19L, 30",VAC,12,7.63,64,0,0,230,10,,None,,,,,
IAD,5/3/2019,1,1,0,2,5,7,160,"19C, 19L, 19R | 19L, 30",VAC,16.5,6.67,64,120,3,240,10,,None,,,,,
IAD,5/3/2019,2,1,1,3,1,4,160,"19C, 19L, 19R | 19L, 30",VAC,17.5,6,64,0,0,240,10,,None,,,,,
IAD,5/3/2019,3,0,0,1,0,1,160,"19C, 19L, 19R | 19L, 30",VAC,0,0,60,0,0,250,9,MIFG,Moderate,,,,,
IAD,5/3/2019,4,1,0,1,4,5,160,"19C, 19L, 19R | 19L, 30",VAC,12,6,60,0,0,140,9,BCFG,Minor,,,,,
IAD,5/3/2019,5,2,4,3,4,7,148,"19C, 19L | 19L, 30",VAC,13.5,6.5,60,0,0,140,9,BCFG,Minor,,,,,
IAD,5/3/2019,6,9,5,11,12,23,107,"19C, 19L | 19L, 30",VAC,17.67,5.57,62,130,4,120,10,,None,,,,,
IAD,5/3/2019,7,7,37,14,32,46,107,"19C, 19L | 19L, 30",VAC,17.79,5.67,62,130,4,120,10,,None,,,,,
IAD,5/3/2019,8,57,2,62,16,78,107,"19C, 19L | 19L, 30",IAC,18.49,5.29,66,0,0,8,10,,None,,,,,
IAD,5/3/2019,9,8,4,26,13,39,107,"19C, 19L | 19L, 30",IAC,15.44,3.75,69,0,0,9,10,,None,,,,,
IAD,5/3/2019,10,5,6,16,16,32,108,"19C, 19L | 19L, 30",IAC,14.7,4.33,75,0,0,15,10,,None,,,,,
IAD,5/3/2019,11,6,56,13,53,66,109,"19C, 19L | 19L, 30",IAC,18.1,5.43,75,260,4,24,10,,None,,,,,
IAD,5/3/2019,12,57,4,33,15,48,109,"19C, 19L | 19L, 30",IAC,25.55,7.2,77,200,5,24,10,,None,,,,,
IAD,5/3/2019,13,10,6,52,14,66,109,"19C, 19L | 19L, 30",VAC,23.36,7.08,80,0,0,45,10,,None,,,,,
IAD,5/3/2019,14,3,15,17,27,44,109,"19C, 19L | 19L, 30",VAC,15.64,5.55,80,0,0,45,10,,None,,,,,
IAD,5/3/2019,15,7,37,12,41,53,115,"19C, 19L | 30",VAC,19.2,5.95,82,VRB,5,55,10,,None,,,,,
IAD,5/3/2019,16,9,59,20,52,72,120,"19C, 19L | 30",VAC,25.79,5.92,78,70,11,65,10,,None,,,,,
IAD,5/3/2019,17,84,3,38,21,59,120,"19C, 19L | 30",VAC,37.12,5.67,77,80,7,200,10,,None,,,,,
IAD,5/3/2019,18,11,11,55,13,68,120,"19C, 19L | 30",VAC,30.42,7.44,75,60,8,200,10,,None,,,,,
IAD,5/3/2019,19,14,13,15,15,30,120,"19C, 19L | 30",VAC,41.07,6.62,73,70,3,55,10,,None,,,,,
IAD,5/3/2019,20,5,23,8,28,36,120,"19C, 19L | 30",IAC,30,6.32,69,350,21,15,6,TSRA,Severe,,,,,
IAD,5/3/2019,21,1,38,7,22,29,120,"1C, 1R | 1R, 30",IAC,17,10.53,68,360,12,15,5,TSRA BR,Severe,,,,,
