location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°F,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20210701T0100,57.110954,85.0,9.255571,256.50427
20210701T0200,57.09295,84.0,5.904439,232.43141
20210701T0300,56.822952,84.0,7.42159,202.83365
20210701T0400,56.96695,82.0,8.209263,217.87498
20210701T0500,57.47095,83.0,8.913181,226.63658
20210701T0600,58.694954,84.0,14.689589,252.89728
20210701T0700,59.88295,83.0,18.36353,268.8767
20210701T0800,61.142952,76.0,16.56,270.0
20210701T0900,63.77095,70.0,16.263872,264.9204
20210701T1000,64.29295,67.0,17.283749,271.19348
20210701T1100,65.35495,65.0,18.844202,276.58194
20210701T1200,66.362946,63.0,20.907913,272.96094
20210701T1300,66.50695,61.0,17.64,270.0
20210701T1400,66.056946,61.0,16.981165,274.8645
20210701T1500,67.89295,58.0,18.079027,282.65256
20210701T1600,67.928955,59.0,17.309973,286.92752
20210701T1700,68.41495,57.0,14.84318,284.03625
20210701T1800,68.45095,55.0,13.358861,284.03625
20210701T1900,68.16295,57.0,12.303366,290.55603
20210701T2000,66.776955,62.0,8.39657,300.96378
20210701T2100,64.88695,66.0,5.315336,298.30078
20210701T2200,63.392952,70.0,1.835647,258.69006
20210701T2300,62.834953,73.0,2.5455842,171.8699
20210702T0000,62.54695,74.0,2.9024127,150.25511
20210702T0100,61.88095,76.0,3.396233,147.99461
20210702T0200,60.65695,76.0,3.6179552,185.71059
20210702T0300,56.35495,77.0,6.9247384,207.89728
20210702T0400,55.79695,80.0,6.924738,188.97263
20210702T0500,55.27495,77.0,6.162207,186.70984
20210702T0600,56.984955,74.0,4.452954,165.96376
20210702T0700,60.36895,71.0,0.71999997,180.0
20210702T0800,64.00495,69.0,1.2979984,236.30994
20210702T0900,68.540955,60.0,6.8399997,270.0
20210702T1000,70.66495,53.0,10.1376915,276.1155
20210702T1100,72.28495,51.0,11.090103,283.13403
20210702T1200,73.23895,50.0,11.298495,292.47943
20210702T1300,73.05895,42.0,6.379216,343.61047
20210702T1400,74.24695,40.0,5.0142193,338.9625
20210702T1500,75.27295,39.0,3.8773184,338.1986
20210702T1600,75.81295,39.0,3.8773184,338.1986
20210702T1700,75.86695,39.0,4.0249224,349.69516
20210702T1800,75.56095,40.0,3.96,360.0
20210702T1900,74.73295,42.0,3.671294,11.309921
20210702T2000,73.16695,46.0,4.39436,34.99202
20210702T2100,71.69095,48.0,4.6800003,67.380135
20210702T2200,69.72895,54.0,4.6938257,122.47119
20210702T2300,66.974945,59.0,6.3690495,137.2906
20210703T0000,64.454956,65.0,6.638072,130.60129
20210703T0100,62.690952,68.0,6.989936,124.508514
20210703T0200,60.224953,75.0,6.9247384,117.89726
20210703T0300,58.514954,80.0,8.39657,120.96376
20210703T0400,58.17295,80.0,6.193674,125.537674
20210703T0500,57.77695,77.0,7.5685663,115.34617
20210703T0600,59.34295,74.0,8.699793,114.44395
20210703T0700,64.13095,71.0,12.10157,112.75097
20210703T0800,68.234955,64.0,15.256526,109.29004
20210703T0900,72.15895,57.0,16.279802,108.03428
20210703T1000,75.362946,51.0,15.034041,106.69924
20210703T1100,77.846954,46.0,13.493999,99.21102
20210703T1200,79.03495,43.0,10.805999,91.90914
20210703T1300,79.52095,44.0,4.0249224,79.695145
20210703T1400,80.29495,44.0,2.8116899,230.19443
20210703T1500,79.16095,46.0,9.178235,244.44003
20210703T1600,78.33295,48.0,11.440978,257.27563
20210703T1700,74.08495,60.0,17.114204,247.75098
20210703T1800,70.97095,75.0,13.363711,242.74467
20210703T1900,70.178955,78.0,12.783802,237.65256
20210703T2000,69.224945,77.0,11.177405,255.06857
20210703T2100,67.28095,83.0,9.0,233.1301
20210703T2200,66.63295,84.0,7.9036193,210.06859
20210703T2300,65.48095,86.0,6.489992,213.69006
20210704T0000,64.454956,87.0,5.8603754,222.51045
20210704T0100,63.77095,86.0,6.618519,225.0
20210704T0200,63.51895,82.0,8.161764,221.42366
20210704T0300,60.512955,83.0,9.511088,209.47589
20210704T0400,59.32495,83.0,7.5170207,196.69925
20210704T0500,59.21695,84.0,6.9899354,191.88866
20210704T0600,60.710953,84.0,5.5887027,165.06857
20210704T0700,64.63495,79.0,1.8,216.8699
20210704T0800,65.89495,79.0,3.2399998,270.0
20210704T0900,68.43295,73.0,2.52,180.0
20210704T1000,68.79295,71.0,2.3051248,231.3402
20210704T1100,69.11695,68.0,8.669949,274.76364
20210704T1200,68.36095,67.0,11.435313,298.1786
20210704T1300,64.346954,80.0,15.379206,286.31384
